Date,Total.ST,Total.ST.min,Social.ST,Social.ST.min,Pickups,Pickup.1st
2024/1/14,6h28m,,4h5m,,102,10:03
2024/1/15,6h2m,,4h12m,,98,9:26
2024/1/16,4h52m,,3h9m,,87,8:05
2024/1/17,4h40m,,2h43m,,80,7:58
2024/1/18,5h17m,,3h56m,,82,8:00
2024/1/19,5h34m,,3h38m,,88,9:40
2024/1/20,6h8m,,4h5m,,92,10:26
2024/1/21,5h58h,,3h33m,,87,10:18
2024/1/22,4h46m,,2h43m,,75,8:05
2024/1/23,5h6m,,3h28m,,84,7:56
2024/1/24,4h36m,,2h37m,,72,8:01
2024/1/25,5h3m,,2h52m,,76,8:00
2024/1/26,5h24m,,3h2m,,81,9:48
2024/1/27,6h28m,,3h48m,,106,10:45
2024/1/28,5h27m,,3h18m,,79,11:30
2024/1/29,4h50m,,3h57m,,97,8:07
2024/1/30,5h11m,,2h21m,,76,7:55
2024/1/31,4h21m,,2h39m,,100,7:45
2024/2/1,4h2m,,1h50m,,101,8:03
2024/2/2,5h25m,,2h17m,,93,9:30
2024/2/3,4h53m,,2h30m,,116,10:08
2024/2/4,4h37m,,2h25m,,82,11:10
2024/2/5,5h3m,,2h22m,,99,8:10
2024/2/6,6h12m,,2h20m,,106,8:03
2024/2/7,4h54m,,1h52m,,106,8:05
2024/2/8,4h40m,,2h22m,,93,7:58
2024/2/9,5h20m,,3h26m,,99,10:38
2024/2/10,6h8m,,3h14m,,97,10:09
2024/2/11,4h32m,,2h12m,,69,9:35
2024/2/12,5h22m,,3h17m,,82,7:50
2024/2/13,5h52m,,2h23m,,84,8:05
