"Date","Total.ST","Social.ST","Pickups","Pickup.1st","Total.ST.min","Social.ST.min","Daily.prop.social","Daily.duration","if_weekend","Pickup.1st.agl"
2024-01-14,"7h1m","4h20m",343,2024-01-14 07:32:00,421,260,0.617577197149644,1.22740524781341,"weekend",113
2024-01-15,"12h39m","7h22m",104,2024-01-15 07:15:00,759,442,0.582345191040843,7.29807692307692,"weekday",108.75
2024-01-16,"10h12m","6h47m",106,2024-01-16 07:00:00,612,407,0.665032679738562,5.77358490566038,"weekday",105
2024-01-17,"8h6m","5h26m",145,2024-01-17 07:39:00,486,326,0.670781893004115,3.35172413793103,"weekday",114.75
2024-01-18,"10h33m","8h53m",131,2024-01-18 07:00:00,633,533,0.842022116903633,4.83206106870229,"weekday",105
2024-01-19,"13h47m","10h46m",74,2024-01-19 08:03:00,827,646,0.781136638452237,11.1756756756757,"weekday",120.75
2024-01-20,"15h4m","14h14m",18,2024-01-20 09:50:00,904,854,0.944690265486726,50.2222222222222,"weekend",147.5
2024-01-21,"11h34m","8h37m",47,2024-01-21 09:33:00,694,517,0.744956772334294,14.7659574468085,"weekend",143.25
2024-01-22,"9h5m","3h39m",130,2024-01-22 07:10:00,545,219,0.401834862385321,4.19230769230769,"weekday",107.5
2024-01-23,"15h4m","8h25m",27,2024-01-23 07:29:00,904,505,0.558628318584071,33.4814814814815,"weekday",112.25
2024-01-24,"12h4m","9h4m",106,2024-01-24 05:27:00,724,544,0.751381215469613,6.83018867924528,"weekday",81.75
2024-01-25,"6h33m","5h17m",116,2024-01-25 07:27:00,393,317,0.806615776081425,3.38793103448276,"weekday",111.75
2024-01-26,"9h24m","5h24m",124,2024-01-26 08:22:00,564,324,0.574468085106383,4.54838709677419,"weekday",125.5
2024-01-27,NA,NA,148.285714285714,NA,590.25,435.142857142857,0.713995357996954,12.4642236856788,"weekend",130.035714285714
2024-01-28,"9h33m",NA,148.285714285714,NA,573,435.142857142857,0.713995357996954,12.4642236856788,"weekend",130.035714285714
2024-01-29,"7h38m","6h44m",118.45,NA,458,404,0.882096069868996,6.85701343718151,"weekday",114.805555555556
2024-01-30,"11h8m","10h29m",118.45,NA,668,629,0.941616766467066,6.85701343718151,"weekday",114.805555555556
2024-01-31,"12h","8h14m",53,NA,607.666666666667,494,0.755042462435832,6.85701343718151,"weekday",114.805555555556
2024-02-01,"13h6m","10h42m",90,2024-02-01 07:39:00,786,642,0.816793893129771,8.73333333333333,"weekday",114.75
2024-02-02,"8h38m","7h8m",188,NA,518,428,0.826254826254826,2.75531914893617,"weekday",114.805555555556
2024-02-03,"12h39m","7h39m",87,2024-02-03 09:35:00,759,459,0.604743083003953,8.72413793103448,"weekend",143.75
2024-02-04,"11h3m","7h42m",71,2024-02-04 09:02:00,663,462,0.69683257918552,9.33802816901408,"weekend",135.5
2024-02-05,"8h14m","7h42m",67,2024-02-05 11:15:00,494,462,0.935222672064777,7.37313432835821,"weekday",168.75
2024-02-06,"9h5m","5h57m",109,2024-02-06 07:30:00,545,357,0.655045871559633,5,"weekday",112.5
2024-02-07,"7h20m","6h11m",107,2024-02-07 07:30:00,440,371,0.843181818181818,4.11214953271028,"weekday",112.5
2024-02-08,"10h15m","8h27m",243,2024-02-08 07:30:00,615,507,0.824390243902439,2.53086419753086,"weekday",112.5
2024-02-09,"6h9m","4h28m",216,2024-02-09 08:03:00,369,268,0.726287262872629,1.70833333333333,"weekday",120.75
2024-02-10,"4h4m","2h47m",228,2024-02-10 08:04:00,244,167,0.684426229508197,1.07017543859649,"weekend",121
2024-02-11,"7h44m","5h27m",244,2024-02-11 07:05:00,464,327,0.704741379310345,1.9016393442623,"weekend",106.25
2024-02-12,"11h29m","10h28m",147,2024-02-12 07:54:00,689,628,0.911465892597968,4.68707482993197,"weekday",118.5
2024-02-13,"12h12m","10h29m",86,2024-02-13 07:33:00,732,629,0.859289617486339,8.51162790697674,"weekday",113.25
